,elapsed time
Lehigh Valley International Airport,"121,4063604"
Abilene Regional Airport,"49,25658807"
Albuquerque International Sunport,"111,0610561"
Aberdeen Regional Airport,"66,86631016"
Southwest Georgia Regional Airport,"53,84189723"
Nantucket Memorial Airport,0
Waco Regional Airport,"40,60619469"
Arcata Airport,"74,32908163"
Atlantic City International Airport,"145,556829"
Adak Airport,"162,7407407"
Kodiak Airport,"48,10869565"
Alexandria International Airport,"75,78652968"
Augusta Regional Airport (Bush Field),"58,94117647"
King Salmon Airport,0
Albany International Airport,"140,5708955"
Waterloo Regional Airport,"74,32758621"
Rick Husband Amarillo International Airport,"76,5960396"
Ted Stevens Anchorage International Airport,"176,7535946"
Alpena County Regional Airport,"60,625"
Aspen-Pitkin County Airport,"108,1945789"
Hartsfield-Jackson Atlanta International Airport,"113,5106172"
Appleton International Airport,"79,49468085"
Austin-Bergstrom International Airport,"131,6570482"
Asheville Regional Airport,"70,05100464"
Wilkes-Barre/Scranton International Airport,"121,6987179"
Kalamazoo/Battle Creek International Airport,"60,79584775"
Bradley International Airport,"146,8675917"
Bethel Airport,"67,67330677"
Meadows Field,"125,0522599"
Greater Binghamton Airport,"99,44736842"
Bangor International Airport,"127,4090909"
Birmingham-Shuttlesworth International Airport,"103,8563739"
Billings Logan International Airport,"88,16548798"
Bismarck Municipal Airport,"99,60371179"
Bemidji Regional Airport,"58,28342246"
Bellingham International Airport,"200,3817568"
Central Illinois Regional Airport at Bloomington-Normal,"91,01662404"
Nashville International Airport,"111,7400694"
Boise Airport (Boise Air Terminal),"108,1330049"
Gen. Edward Lawrence Logan International Airport,"163,9579868"
Jack Brooks Regional Airport (Southeast Texas Regional),"64,78700361"
Brunswick Golden Isles Airport,"70,74900398"
Rafael Hernández Airport,"197,2083333"
Brainerd Lakes Regional Airport,"51,56521739"
Brownsville/South Padre Island International Airport,"80,58902077"
Wiley Post-Will Rogers Memorial Airport,"81,72803347"
Bert Mooney Airport,"72,41935484"
Baton Rouge Metropolitan Airport,"80,94243902"
Burlington International Airport,"107,9549419"
Buffalo Niagara International Airport,"119,9266745"
Bob Hope Airport (Hollywood Burbank Airport),"84,40239892"
Baltimore-Washington International Airport,"131,2983838"
Bozeman Yellowstone International Airport (Gallatin Field Airport),"114,2591716"
Columbia Metropolitan Airport,"100,6108999"
Akron-Canton Regional Airport,"110,1327434"
Cedar City Regional Airport,"58,00625"
Merle K. (Mudhole) Smith Airport,"45,60326087"
Del Norte County Airport (Jack McNamara Field),"82,67567568"
